product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,size_category,fat_percentage,sugar_per_ml,caffeine_density,is_high_calorie
brewed coffee - dark roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,130,small,0.04237288135593221,0.0,0.5508474576271186,False
brewed coffee - dark roast,tall,0,0,354,4,0.1,0.0,0.0,0,10,0,0,0,193,medium,0.02824858757062147,0.0,0.5451977401129944,False
brewed coffee - dark roast,grande,0,0,473,5,0.1,0.0,0.0,0,10,0,0,0,260,medium,0.021141649048625793,0.0,0.5496828752642706,False
brewed coffee - dark roast,venti,0,0,591,5,0.1,0.0,0.0,0,10,0,0,0,340,large,0.01692047377326565,0.0,0.5752961082910322,False
brewed coffee - decaf pike place roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,15,small,0.04237288135593221,0.0,0.0635593220338983,False
brewed coffee - decaf pike place roast,tall,0,0,354,4,0.1,0.0,0.0,0,10,0,0,0,20,medium,0.02824858757062147,0.0,0.05649717514124294,False
brewed coffee - decaf pike place roast,grande,0,0,473,5,0.1,0.0,0.0,0,10,0,0,0,25,medium,0.021141649048625793,0.0,0.052854122621564484,False
brewed coffee - decaf pike place roast,venti,0,0,591,5,0.1,0.0,0.0,0,10,0,0,0,30,large,0.01692047377326565,0.0,0.050761421319796954,False
brewed coffee - medium roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,155,small,0.04237288135593221,0.0,0.6567796610169492,False
brewed coffee - medium roast,tall,0,0,354,4,0.1,0.0,0.0,0,5,0,0,0,235,medium,0.02824858757062147,0.0,0.6638418079096046,False
brewed coffee - medium roast,grande,0,0,473,5,0.1,0.0,0.0,0,5,0,0,0,310,medium,0.021141649048625793,0.0,0.6553911205073996,False
brewed coffee - medium roast,venti,0,0,591,5,0.1,0.0,0.0,0,5,0,0,0,410,large,0.01692047377326565,0.0,0.6937394247038917,False
brewed coffee - True North Blend Blonde roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,180,small,0.04237288135593221,0.0,0.7627118644067796,False
brewed coffee - True North Blend Blonde roast,tall,0,0,354,4,0.1,0.0,0.0,0,5,0,0,0,270,medium,0.02824858757062147,0.0,0.7627118644067796,False
brewed coffee - True North Blend Blonde roast,grande,0,0,473,5,0.1,0.0,0.0,0,5,0,0,0,360,medium,0.021141649048625793,0.0,0.7610993657505285,False
brewed coffee - True North Blend Blonde roast,venti,0,0,591,5,0.1,0.0,0.0,0,5,0,0,0,475,large,0.01692047377326565,0.0,0.8037225042301185,False
Caffè Misto,short,1,0,236,35,0.1,0.1,0.0,0,45,5,0,5,75,small,0.04237288135593221,0.0211864406779661,0.3177966101694915,False
Caffè Misto,short,2,0,236,50,2.0,1.0,0.1,10,50,5,0,5,75,small,0.847457627118644,0.0211864406779661,0.3177966101694915,False
Caffè Misto,short,5,0,236,70,3.5,2.0,0.1,10,50,5,0,5,75,small,1.4830508474576272,0.0211864406779661,0.3177966101694915,False
Caffè Misto,short,3,0,236,40,1.5,0.2,0.0,0,40,3,0,2,75,small,0.6355932203389831,0.00847457627118644,0.3177966101694915,False
Caffè Misto,short,4,0,236,40,2.5,2.5,0.0,0,45,4,0,3,75,small,1.059322033898305,0.012711864406779662,0.3177966101694915,False
Caffè Misto,tall,1,0,354,60,0.2,0.1,0.0,5,70,8,0,8,115,medium,0.05649717514124294,0.022598870056497175,0.3248587570621469,False
Caffè Misto,tall,2,0,354,80,3.0,1.5,0.1,15,80,8,0,8,115,medium,0.847457627118644,0.022598870056497175,0.3248587570621469,False
Caffè Misto,tall,5,0,354,100,5.0,3.0,0.2,15,70,8,0,8,115,medium,1.4124293785310735,0.022598870056497175,0.3248587570621469,False
Caffè Misto,tall,3,0,354,60,2.5,0.3,0.0,0,60,5,1,4,115,medium,0.7062146892655368,0.011299435028248588,0.3248587570621469,False
Caffè Misto,tall,4,0,354,60,3.5,3.5,0.0,0,70,6,0,5,115,medium,0.9887005649717515,0.014124293785310734,0.3248587570621469,False
Caffè Misto,grande,1,0,473,70,0.2,0.1,0.0,5,90,10,0,10,150,medium,0.042283298097251586,0.021141649048625793,0.3171247357293869,False
Caffè Misto,grande,2,0,473,110,4.0,2.0,0.1,15,100,10,0,10,150,medium,0.8456659619450317,0.021141649048625793,0.3171247357293869,False
Caffè Misto,grande,5,0,473,130,7.0,4.0,0.2,20,95,10,0,10,150,medium,1.4799154334038054,0.021141649048625793,0.3171247357293869,False
Caffè Misto,grande,3,0,473,80,3.0,0.4,0.0,0,80,6,1,5,150,medium,0.6342494714587738,0.010570824524312896,0.3171247357293869,False
Caffè Misto,grande,4,0,473,70,4.5,4.5,0.0,0,90,7,0,7,150,medium,0.9513742071881607,0.014799154334038054,0.3171247357293869,False
Caffè Misto,venti,1,0,591,90,0.3,0.2,0.0,5,115,13,0,13,195,large,0.050761421319796954,0.021996615905245348,0.3299492385786802,False
Caffè Misto,venti,2,0,591,130,5.0,2.5,0.2,20,130,13,0,13,195,large,0.8460236886632826,0.021996615905245348,0.3299492385786802,False
Caffè Misto,venti,5,0,591,160,9.0,5.0,0.3,25,120,13,0,13,195,large,1.5228426395939088,0.021996615905245348,0.3299492385786802,False
Caffè Misto,venti,3,0,591,100,4.0,0.5,0.0,0,100,8,1,6,195,large,0.676818950930626,0.01015228426395939,0.3299492385786802,False
Caffè Misto,venti,4,0,591,80,5.0,4.5,0.0,0,90,7,0,7,195,large,0.8460236886632826,0.011844331641285956,0.3299492385786802,False
Clover Brewed Coffee - Dark Roast,short,0,0,236,10,0.0,0.0,0.0,0,5,0,0,0,190,small,0.0,0.0,0.8050847457627118,False
Clover Brewed Coffee - Dark Roast,tall,0,0,354,10,0.0,0.0,0.0,0,10,0,0,0,280,medium,0.0,0.0,0.7909604519774012,False
Clover Brewed Coffee - Dark Roast,grande,0,0,473,10,0.0,0.0,0.0,0,10,0,0,0,380,medium,0.0,0.0,0.8033826638477801,False
Clover Brewed Coffee - Dark Roast,venti,0,0,591,10,0.0,0.0,0.0,0,10,0,0,0,470,large,0.0,0.0,0.7952622673434856,False
Clover Brewed Coffee -  Light Roast,short,0,0,236,10,0.0,0.0,0.0,0,5,0,0,0,155,small,0.0,0.0,0.6567796610169492,False
Clover Brewed Coffee -  Light Roast,tall,0,0,354,10,0.0,0.0,0.0,0,10,0,0,0,255,medium,0.0,0.0,0.7203389830508474,False
